campaign,ad_group,keyword,match_type,quality_score,landing_page_experience,expected_ctr,ad_relevance,final_url,status
愛知県＿車内クリーニング,int愛知_通常清掃,車内 クリーニング 専門 店 愛知,Broad,5,Average,Average,Below average,,Enabled
愛知県＿車内クリーニング,車シート 洗浄,車シート 洗浄,Phrase,5,Below average,Average,Above average,https://carinteriorcleaning.jp/regions/aichi/seat-senjo/,Enabled
千葉県＿車内クリーニング,中古車タバコ臭,中古車タバコ臭,Phrase,5,Average,Below average,Above average,https://carinteriorcleaning.jp/regions/chiba/chuko-tabako/,Enabled
千葉県＿車内クリーニング,車 嘔吐 クリーニング,車内 嘔吐 清掃,Phrase,5,Below average,Average,Above average,https://carinteriorcleaning.jp/regions/chiba/kyuto-cleaning/,Enabled
千葉県＿車内クリーニング,車シート 洗浄,車シート 洗浄,Phrase,5,Below average,Average,Above average,https://carinteriorcleaning.jp/regions/chiba/seat-senjo/,Enabled
千葉県＿車内クリーニング,車シート クリーニング,車シート クリーニング,Phrase,5,Below average,Average,Above average,https://carinteriorcleaning.jp/regions/chiba/seat-cleaning/,Enabled
兵庫県＿車内クリーニング,中古車タバコ臭,中古車タバコ臭,Phrase,5,Average,Below average,Above average,https://carinteriorcleaning.jp/regions/hyogo/chuko-tabako/,Enabled
兵庫県＿車内クリーニング,車シート 洗浄,車シート 洗浄,Phrase,5,Below average,Average,Above average,https://carinteriorcleaning.jp/regions/hyogo/seat-senjo/,Enabled
福岡県＿車内クリーニング,int福岡_通常清掃,車内 クリーニング 専門 業者,Phrase,5,Below average,Above average,Below average,,Enabled
福岡県＿車内クリーニング,車　 ペット臭,車 ペット臭,Phrase,5,Average,Below average,Above average,https://carinteriorcleaning.jp/regions/fukuoka/pet-nioi/,Enabled
福岡県＿車内クリーニング,車シート 洗浄,車シート 洗浄,Phrase,5,Below average,Average,Above average,https://carinteriorcleaning.jp/regions/fukuoka/seat-senjo/,Enabled
福岡県＿車内クリーニング,エアコン_エバポレーター,エアコン エバポレーター,Broad,5,Below average,Average,Above average,https://carinteriorcleaning.jp/regions/fukuoka/evaporator-senjo/,Enabled
群馬県＿車内クリーニング,車の匂い取り,車の匂い取り,Phrase,5,Below average,Average,Above average,https://carinteriorcleaning.jp/regions/gunma/kuruma-nioitori/,Enabled
栃木県＿車内クリーニング,車シート 洗浄,車シート 洗浄,Phrase,5,Below average,Average,Above average,https://carinteriorcleaning.jp/regions/tochigi/seat-senjo/,Enabled
大阪府＿車内クリーニング,int大阪_通常清掃,車 ルーム クリーニング,Phrase,6,Average,Average,Average,,Paused
大阪府＿車内クリーニング,int大阪_通常清掃,車内 クリーニング 専門 店 大阪,Broad,6,Average,Average,Average,,Enabled
大阪府＿車内クリーニング,AG_消臭_口語,車 匂い 消し 業者,Phrase,6,Average,Above average,Below average,https://carinteriorcleaning.jp/regions/osaka/kuruma-nioi-keshi/,Enabled
宮城県＿車内クリーニング,int宮城_通常清掃,車内 クリーニング 専門 業者,Phrase,6,Average,Average,Average,,Enabled
愛知県＿車内クリーニング,車内 消臭・脱臭洗浄,車内 消 臭 プロ,Phrase,6,Average,Average,Average,https://carinteriorcleaning.jp/regions/aichi/shanai-shoshu/,Enabled
千葉県＿車内クリーニング,int千葉_通常清掃,車内 清掃 プロ,Phrase,6,Average,Average,Average,,Enabled
